Month,Year,"Oil Price, month"
May,1987,18.58
May,1987,18.86
May,1987,19.86
May,1987,18.98
May,1987,18.31
May,1987,18.76
May,1987,17.78
May,1987,17.05
May,1988,16.75
May,1988,15.73
May,1988,14.73
May,1988,16.6
May,1988,16.31
May,1988,15.54
May,1988,14.91
May,1988,14.89
May,1988,13.18
June,1988,12.41
June,1988,13.02
June,1988,15.31
June,1989,17.17
June,1989,16.89
June,1989,18.7
June,1989,20.32
June,1989,18.63
June,1989,17.67
June,1989,17.62
June,1989,16.77
June,1989,17.77
June,1989,18.91
June,1989,18.73
June,1989,19.84
June,1990,21.25
June,1990,19.81
June,1990,18.39
June,1990,16.61
June,1990,16.35
June,1990,15.1
June,1990,17.17
June,1990,27.17
June,1990,34.9
June,1990,36.02
June,1990,33.07
June,1990,28.27
June,1991,23.57
June,1991,19.54
June,1991,19.08
July,1991,19.18
July,1991,19.19
July,1991,18.17
July,1991,19.4
July,1991,19.77
July,1991,20.5
July,1991,22.21
July,1991,21.11
July,1991,18.41
July,1992,18.16
July,1992,18.05
July,1992,17.63
July,1992,18.92
July,1992,19.89
July,1992,21.16
July,1992,20.24
July,1992,19.74
July,1992,20.27
July,1992,20.26
July,1992,19.21
July,1992,18.14
July,1993,17.39
July,1993,18.47
July,1993,18.79
July,1993,18.67
July,1993,18.51
July,1993,17.65
July,1993,16.78
July,1993,16.7
July,1993,16.01
July,1993,16.61
Augu,1993,15.2
Augu,1993,13.73
Augu,1994,14.29
Augu,1994,13.8
Augu,1994,13.82
Augu,1994,15.23
Augu,1994,16.19
Augu,1994,16.76
Augu,1994,17.6
Augu,1994,16.89
Augu,1994,15.9
Augu,1994,16.49
Augu,1994,17.19
Augu,1994,15.93
Augu,1995,16.55
Augu,1995,17.11
Augu,1995,17.01
Augu,1995,18.65
Augu,1995,18.35
Augu,1995,17.31
Augu,1995,15.85
Augu,1995,16.1
Augu,1995,16.7
Augu,1995,16.11
Augu,1995,16.86
Augu,1995,17.93
Augu,1996,17.85
Augu,1996,18
Augu,1996,19.85
Augu,1996,20.9
Augu,1996,19.15
Sept,1996,18.46
Sept,1996,19.57
Sept,1996,20.51
Sept,1996,22.63
Sept,1996,24.16
Sept,1996,22.76
Sept,1996,23.78
Sept,1997,23.54
Sept,1997,20.85
Sept,1997,19.13
Sept,1997,17.56
Sept,1997,19.02
Sept,1997,17.58
Sept,1997,18.46
Sept,1997,18.6
Sept,1997,18.46
Sept,1997,19.87
Sept,1997,19.17
Sept,1997,17.18
Sept,1998,15.19
Sept,1998,14.07
Sept,1998,13.1
Sept,1998,13.53
Sept,1998,14.36
Sept,1998,12.21
Sept,1998,12.08
Sept,1998,11.91
Sept,1998,13.34
Sept,1998,12.7
Sept,1998,11.04
Octo,1998,9.82
Octo,1999,11.11
Octo,1999,10.27
Octo,1999,12.51
Octo,1999,15.29
Octo,1999,15.23
Octo,1999,15.86
Octo,1999,19.08
Octo,1999,20.22
Octo,1999,22.54
Octo,1999,22
Octo,1999,24.58
Octo,1999,25.47
Octo,2000,25.51
Octo,2000,27.78
Octo,2000,27.49
Octo,2000,22.76
Octo,2000,27.74
Octo,2000,29.8
Octo,2000,28.68
Octo,2000,30.2
Octo,2000,33.14
Octo,2000,30.96
Octo,2000,32.55
Octo,2000,25.66
Octo,2001,25.62
Octo,2001,27.5
Octo,2001,24.5
Octo,2001,25.66
Octo,2001,28.31
Octo,2001,27.85
Nove,2001,24.61
Nove,2001,25.68
Nove,2001,25.62
Nove,2001,20.54
Nove,2001,18.8
Nove,2001,18.71
Nove,2002,19.42
Nove,2002,20.28
Nove,2002,23.7
Nove,2002,25.73
Nove,2002,25.35
Nove,2002,24.08
Nove,2002,25.74
Nove,2002,26.65
Nove,2002,28.4
Nove,2002,27.54
Nove,2002,24.34
Nove,2002,28.33
Nove,2003,31.18
Nove,2003,32.77
Nove,2003,30.61
Nove,2003,25
Nove,2003,25.86
Nove,2003,27.65
Nove,2003,28.35
Nove,2003,29.89
Nove,2003,27.11
Nove,2003,29.61
Nove,2003,28.75
Nove,2003,29.81
Dece,2004,31.28
Dece,2004,30.86
Dece,2004,33.63
Dece,2004,33.59
Dece,2004,37.57
Dece,2004,35.18
Dece,2004,38.22
Dece,2004,42.74
Dece,2004,43.2
Dece,2004,49.78
Dece,2004,43.11
Dece,2004,39.6
Dece,2005,44.51
Dece,2005,45.48
Dece,2005,53.1
Dece,2005,51.88
Dece,2005,48.65
Dece,2005,54.35
Dece,2005,57.52
Dece,2005,63.98
Dece,2005,62.91
Dece,2005,58.54
Dece,2005,55.24
Dece,2005,56.86
Dece,2006,62.99
Dece,2006,60.21
Dece,2006,62.06
Dece,2006,70.26
Dece,2006,69.78
Dece,2006,68.56
Dece,2006,73.67
Janu,2006,73.23
Janu,2006,61.96
Janu,2006,57.81
Janu,2006,58.76
Janu,2006,62.47
Janu,2007,53.68
Janu,2007,57.56
Janu,2007,62.05
Janu,2007,67.49
Janu,2007,67.21
Janu,2007,71.05
Janu,2007,76.93
Janu,2007,70.76
Janu,2007,77.17
Janu,2007,82.34
Janu,2007,92.41
Janu,2007,90.93
Janu,2008,92.18
Janu,2008,94.99
Janu,2008,103.64
Janu,2008,109.07
Janu,2008,122.8
Janu,2008,132.32
Janu,2008,132.72
Janu,2008,113.24
Janu,2008,97.23
Janu,2008,71.58
Janu,2008,52.45
Janu,2008,39.95
Janu,2009,43.44
Janu,2009,43.32
Febr,2009,46.54
Febr,2009,50.18
Febr,2009,57.3
Febr,2009,68.61
Febr,2009,64.44
Febr,2009,72.51
Febr,2009,67.65
Febr,2009,72.77
Febr,2009,76.66
Febr,2009,74.46
Febr,2010,76.17
Febr,2010,73.75
Febr,2010,78.83
Febr,2010,84.82
Febr,2010,75.95
Febr,2010,74.76
Febr,2010,75.58
Febr,2010,77.04
Febr,2010,77.84
Febr,2010,82.67
Febr,2010,85.28
Febr,2010,91.45
Febr,2011,96.52
Febr,2011,103.72
Febr,2011,114.64
Febr,2011,123.26
Febr,2011,114.99
Febr,2011,113.83
Febr,2011,116.97
Marc,2011,110.22
Marc,2011,112.83
Marc,2011,109.55
Marc,2011,110.77
Marc,2011,107.87
Marc,2012,110.69
Marc,2012,119.33
Marc,2012,125.45
Marc,2012,119.75
Marc,2012,110.34
Marc,2012,95.16
Marc,2012,102.62
Marc,2012,113.36
Marc,2012,112.86
Marc,2012,111.71
Marc,2012,109.06
Marc,2012,109.49
Marc,2013,112.96
Marc,2013,116.05
Marc,2013,108.47
Marc,2013,102.25
Marc,2013,102.56
Marc,2013,102.92
Marc,2013,107.93
Marc,2013,111.28
Marc,2013,111.6
Marc,2013,109.08
Marc,2013,107.79
Marc,2013,110.76
Marc,2014,108.12
Marc,2014,108.9
Apri,2014,107.48
Apri,2014,107.76
Apri,2014,109.54
Apri,2014,111.8
Apri,2014,106.77
Apri,2014,101.61
Apri,2014,97.09
Apri,2014,87.43
Apri,2014,79.44
Apri,2014,62.34
Apri,2015,47.76
Apri,2015,58.1
Apri,2015,55.89
Apri,2015,59.52
Apri,2015,64.08
Apri,2015,61.48
Apri,2015,56.56
Apri,2015,46.52
Apri,2015,47.62
Apri,2015,48.43
Apri,2015,44.27
Apri,2015,38.01
Apri,2016,30.7
Apri,2016,32.18
Apri,2016,38.21
Apri,2016,41.58
Apri,2016,46.74
Apri,2016,48.25
Apri,2016,44.95
Apri,2016,45.84
May ,2016,46.57
May ,2016,49.52
May ,2016,44.73
May ,2016,53.31
May ,2017,54.58
May ,2017,54.87
May ,2017,51.59
May ,2017,52.31
May ,2017,50.33
May ,2017,46.37
May ,2017,48.48
May ,2017,51.7
May ,2017,56.15
May ,2017,57.51
May ,2017,62.71
May ,2017,64.37
May ,2018,69.08
May ,2018,65.32
May ,2018,66.02
May ,2018,72.11
May ,2018,76.98
May ,2018,74.41
May ,2018,74.25
May ,2018,72.53
May ,2018,78.89
May ,2018,81.03
May ,2018,64.75
May ,2018,57.36
May ,2019,59.41
May ,2019,63.96
May ,2019,66.14
June,2019,71.23
June,2019,71.32
June,2019,64.22
June,2019,63.92
June,2019,59.04
June,2019,62.83
June,2019,59.71
June,2019,63.21
June,2019,67.31
June,2020,63.65
June,2020,55.66
June,2020,32.01
June,2020,18.38
June,2020,29.38
June,2020,40.27
June,2020,43.24
June,2020,44.74
June,2020,40.91
June,2020,40.19
June,2020,42.69
June,2020,49.99
June,2021,54.77
June,2021,62.28
June,2021,65.41
June,2021,64.81
June,2021,68.53
June,2021,73.16
June,2021,75.17
June,2021,70.75
June,2021,74.49
July,2021,83.54
July,2021,81.05
July,2021,74.17
July,2022,86.51
July,2022,97.13
July,2022,117.25
July,2022,104.58
July,2022,113.34
July,2022,122.71
July,2022,111.93
July,2022,100.45
July,2022,89.76
July,2022,93.33
July,2022,91.42
July,2022,80.92
July,2023,82.5
July,2023,82.59
July,2023,78.43
July,2023,84.64
July,2023,75.47
July,2023,74.84
July,2023,80.11
July,2023,86.15